LATITUDE,LONGITUDE,EQ_MAGNITUDE,EQ_DEPTH,CAUSE,TS_INTENSITY
49.0,-125.0,5.8,33.0,0,0.0
-44.6,-73.0,7.1,33.0,0,2.0
-9.674,159.519,6.9,35.0,0,1.5
6.5,126.5,8.3,33.0,1,0.5
35.4,141.8,7.3,40.0,0,-1.5
6.5,124.0,7.2,22.0,0,0.5
56.0,162.5,5.7,33.0,0,1.0
-24.5,-70.0,7.3,60.0,0,0.5
40.7,144.3,7.0,10.0,0,-2.0
39.9,143.7,7.2,10.0,0,-1.0
-2.0,-81.0,6.9,33.0,0,1.5
-3.57,128.35,6.2,17.0,0,0.0
51.0,-131.0,7.0,33.0,0,0.0
32.3,132.5,7.5,30.0,0,1.0
39.368,24.957,7.2,15.0,0,3.0
5.5,97.3,6.1,100.0,0,1.5
-25.5,-70.7,7.8,47.0,0,0.5
-10.748,-78.638,8.1,38.0,0,1.5
-10.343,160.88299999999998,7.1,31.0,0,1.0
24.1,122.6,7.6,48.0,0,0.0
50.32,177.93,7.6,20.0,0,-1.0
51.29,178.55,8.7,36.0,0,2.5
5.8,95.4,7.0,100.0,1,0.0
44.772,150.563,7.9,28.0,0,3.0
44.772,149.798,8.5,13.0,0,2.5
24.4,122.1,7.3,47.0,0,-2.0
17.2,-99.6,7.0,40.0,0,0.0
31.6,131.8,7.6,74.0,0,-0.5
-37.872,-73.243,8.2,35.0,0,-1.0
-15.75,-72.75,7.8,160.0,0,3.0
52.5,159.5,8.2,60.0,0,1.0
44.53,148.54,8.3,40.0,0,2.5
16.5,-99.1,7.9,25.0,0,0.5
-3.4,-80.6,7.4,30.0,0,0.5
34.0,141.7,7.4,60.0,0,1.5
41.7,143.6,7.0,20.0,0,-2.0
19.5,-156.0,6.9,12.0,0,0.5
-14.25,-77.75,7.0,80.0,0,0.0
11.0,-85.0,7.7,33.0,0,-2.0
38.718,26.482,6.5,15.0,0,2.0
-21.0,-174.0,7.8,33.0,0,1.5
38.532,20.427,6.5,15.0,0,4.0
35.5,27.2,7.1,40.0,0,4.0
37.0,22.0,6.9,28.0,1,2.0
-26.5,-70.5,7.9,60.0,0,9.0
34.7,137.2,7.1,33.0,0,-0.5
-15.0,-76.0,8.2,60.0,1,1.0
4.6,-74.5,5.8,130.0,0,1.0
-10.5,-77.0,8.2,60.0,0,1.5
-7.08,155.386,7.7,35.0,0,1.0
37.5,141.8,7.5,0.0,0,-0.5
37.2,141.7,7.6,30.0,0,-0.5
37.1,141.7,7.7,30.0,0,-0.5
25.321,125.115,7.6,35.0,0,0.0
14.5,121.5,7.5,60.0,0,1.0
4.5,126.5,7.7,60.0,0,2.0
8.0,-82.5,7.7,60.0,0,1.5
17.5,119.0,7.9,55.0,0,0.5
33.616,-117.966,6.3,16.0,2,-3.0
40.5,23.9,6.9,35.0,0,3.0
19.081,-103.631,7.8,15.0,0,0.5
41.2,142.5,7.6,60.0,0,-1.0
-39.772,176.025,7.7,35.0,1,0.0
-35.0,-72.0,7.6,25.0,0,0.5
16.028,-97.036,7.7,35.0,0,1.0
12.4,120.9,7.0,33.0,0,0.5
38.0,23.0,6.0,29.0,0,3.0
34.813,-120.774,7.3,10.0,0,1.0
35.6,135.1,7.6,10.0,1,0.5
8.5,126.5,7.3,33.0,0,0.5
34.9,140.2,7.7,20.0,0,-1.5
-18.3,178.2,6.4,33.0,1,1.0
34.03,-118.643,5.2,15.0,1,-0.5
